id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1505.0,1700.0,2300.0,11.0,1302077.0,5561.828641289375,2114233.0,-812156.0,1364.2628045944814
1506.0,2120.0,2628.0,18.0,3478705.0,8537.41929888728,8690034.0,-5211329.0,2082.541716268848
1507.0,652.0,3032.0,20.0,4299318.0,9403.749390056182,11817100.0,-7517782.0,2290.1279440240887
1508.0,1374.0,3512.0,6.0,391747.0,3422.786206134301,387108.0,4639.0,857.8129166665655
1509.0,2121.0,4290.0,6.0,391653.0,3418.966487500096,386676.0,4977.0,857.5342558755306
1510.0,1927.0,4348.0,10.0,1078274.0,5139.93872870459,1614759.0,-536485.0,1262.9319063195767
1511.0,770.0,4410.0,20.0,4310031.0,9417.944021543191,11834937.0,-7524906.0,2292.7769189347664
1512.0,1009.0,274.0,20.0,4296654.0,9391.683455933027,11801937.0,-7505283.0,2289.281328277501
1513.0,1707.0,511.0,6.0,390338.0,3420.1004664696256,386804.0,3534.0,856.8337061530668
1514.0,1555.0,694.0,16.0,2757385.0,7708.689563023838,6199696.0,-3442311.0,1879.4539100494057
1515.0,185.0,701.0,6.0,399182.0,3701.705243902848,418653.0,-19471.0,878.2471178432639
1516.0,545.0,845.0,20.0,4302811.0,9412.095077384563,11827587.0,-7524776.0,2291.073547488164
1517.0,1600.0,1355.0,6.0,397467.0,3514.867287896906,397522.0,-55.0,866.498701672426
1518.0,1252.0,1379.0,6.0,397669.0,3513.633837087944,397382.0,287.0,866.5437092264879
1519.0,857.0,1434.0,15.0,2429605.0,7305.211887917996,5163750.0,-2734145.0,1778.7650210187967
1520.0,1249.0,1447.0,7.0,539704.0,3941.104119864888,606685.0,-66981.0,967.4228651422293
1521.0,126.0,1509.0,6.0,391708.0,3422.298794121082,387052.0,4656.0,857.7616218973661
1522.0,1536.0,1542.0,6.0,397250.0,3512.4401750147545,397247.0,3.0,866.2326477338521
1523.0,1360.0,1559.0,6.0,397468.0,3515.6829569802517,397614.0,-146.0,866.5465942463798
1524.0,1470.0,1564.0,6.0,398121.0,3521.452323667333,398266.0,-145.0,867.2577471547891
1525.0,204.0,1694.0,20.0,4301349.0,9396.885833135344,11808475.0,-7507126.0,2290.420703713621
1526.0,1918.0,1986.0,18.0,3485955.0,8549.047556916932,8701870.0,-5215915.0,2084.562064319506
1527.0,2373.0,2604.0,10.0,1078190.0,5138.108446859033,1614184.0,-535994.0,1262.8257995463982
1528.0,1316.0,2687.0,6.0,392631.0,3427.8891114971852,387685.0,4946.0,858.626810669222
1529.0,1248.0,3499.0,19.0,3884220.0,8978.447593378865,10182591.0,-6298371.0,2187.882995043382
1530.0,304.0,657.0,6.0,391683.0,3425.4122626953176,387405.0,4278.0,857.9294842817794
